170-arquillian-junit-container-1.6.0.Final,0
171-jboss-vfs-3.2.16.Final,0
172-jclouds-core-2.4.0,94
173-jfreechart-1.5.3,150
174-jsoup-1.14.3,55
175-spring-aop-5.3.15,11
176-spring-beans-5.3.15,15
177-spring-boot-2.6.3,130
178-spring-context-5.3.15,10
179-spring-core-5.3.15,137
180-spring-expression-5.3.15,5
181-spring-web-5.3.15,32
182-spring-jdbc-5.3.15,3
183-spring-messaging-5.3.15,4
184-spring-test-5.3.15,16
185-spring-orm-5.3.15,6
186-spring-security-core-5.6.1,226
187-spring-security-config-5.6.1,2
188-spring-security-web-5.6.1,42
189-spring-tx-5.3.15,3
190-c3p0-0.9.5.5,12
191-bcprov-jdk15on-1.70,199
192-bcpg-jdk15on-1.70,25
193-bcpkix-jdk15on-1.70,172
194-xercesImpl-2.12.2,12
195-gradle-tooling-api-7.3-20210825160000+0000,271
196-unsafe-mock-8.92.1,2
197-org.eclipse.jface-3.24.0,60
198-json-lib-2.4,14
199-xmlpull-1.0.5,2
200-jaxb-impl-3.0.2,34
201-javax.servlet-api-4.0.1,4
202-lombok-1.18.22,84
203-jsr305-3.0.2,0
204-commons-beanutils-1.9.4,10
205-commons-collections4-4.4,43
206-jackson-datatype-jsr310-2.13.1,2
207-hibernate-validator-7.0.3.Final,208
208-postgresql-42.3.3,115
209-javassist-3.28.0-GA,7
210-hsqldb-2.6.1,250
current_project,balysv/material-ripple
