Cmax_CBO,coupling
Mmax_NOI,coupling
Cmax_NL,complexity
Cmax_NLG,size
Cmax_NLS,size
Cmax_PUA,documentation
Cmax_TNLS,size
Cstd_TNM,size
Fsum_PUA,documentation
Mmax_NL,complexity
Cmax_NLA,size
Cmax_TNS,size
Cmed_NG,size
Cstd_DIT,inheritance
Cstd_NG,size
Cstd_NII,coupling
Cstd_TNPM,size
Csum_CBO,coupling
Csum_NLPA,size
Csum_NLS,size
Csum_TNA,size
Csum_TNLG,size
Csum_TNLPA,size
No_F,size
Cmax_CBOI,coupling
Cmax_DIT,inheritance
Cmax_NII,coupling
Cmax_NS,size
Cmax_TCLOC,documentation
Cmax_TNA,size
Cmax_TNLA,size
Cmax_TNLG,size
Cmed_NII,coupling
Cmed_NLPA,size
Cmed_NLPM,size
Cmed_TNG,size
Cstd_NLE,complexity
Cstd_NLG,size
Cstd_NLM,size
Cstd_NPM,size
Cstd_NS,size
Csum_NLE,complexity
Csum_NLG,size
Csum_NPA,size
Csum_PUA,documentation
Csum_TCD,documentation
Csum_TNLA,size
Csum_TNLS,size
Csum_TNS,size
Fmed_PUA,documentation
Fstd_LLOC,size
Fstd_McCC,complexity
Mmax_HDIF,complexity
Mmax_NII,coupling
Mmax_TCLOC,documentation
Mmed_HDIF,complexity
Mmed_NII,coupling
Mmin_MI,complexity
Mmin_MISEI,complexity
Mstd_McCC,complexity
Mstd_NOI,coupling
Mstd_NUMPAR,size
Mstd_TNOS,size
Msum_NUMPAR,size
