Accuracy,F1-Score,Precision,Recall,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.829,0.805,0.927,0.712,"SGDClassifier(n_jobs=-1, random_state=27033074)",50,QuantileTransformer(random_state=27033074),kb,0,True
0.793,0.79,0.793,0.787,DecisionTreeClassifier(random_state=27033074),478,MaxAbsScaler(),,0,False
0.794,0.791,0.796,0.785,DecisionTreeClassifier(random_state=27033074),400,MaxAbsScaler(),kb,0,False
0.787,0.785,0.785,0.786,DecisionTreeClassifier(random_state=27033074),300,MaxAbsScaler(),kb,0,False
0.788,0.785,0.786,0.784,DecisionTreeClassifier(random_state=27033074),200,MaxAbsScaler(),kb,0,False
0.788,0.784,0.79,0.779,DecisionTreeClassifier(random_state=27033074),100,MaxAbsScaler(),kb,0,False
0.793,0.79,0.791,0.789,DecisionTreeClassifier(random_state=27033074),50,MaxAbsScaler(),kb,0,False
0.851,0.846,0.867,0.825,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,QuantileTransformer(random_state=27033074),,0,True
0.85,0.845,0.867,0.823,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",400,QuantileTransformer(random_state=27033074),kb,0,True
0.851,0.846,0.869,0.823,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",300,QuantileTransformer(random_state=27033074),kb,0,True
0.85,0.845,0.867,0.824,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",200,QuantileTransformer(random_state=27033074),kb,0,True
0.849,0.843,0.866,0.822,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",100,QuantileTransformer(random_state=27033074),kb,0,True
0.848,0.843,0.866,0.82,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",50,QuantileTransformer(random_state=27033074),kb,0,True
