Accuracy,F1-Score,Precision,Recall,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.678,0.606,0.77,0.5,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",478,MinMaxScaler(),,0,True
0.678,0.606,0.77,0.499,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",478,MaxAbsScaler(),,0,True
0.721,0.736,0.694,0.784,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",478,RobustScaler(),,0,True
0.82,0.815,0.83,0.801,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",478,PowerTransformer(),,0,True
0.824,0.837,0.773,0.913,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",478,QuantileTransformer(random_state=27033074),,0,True
0.823,0.818,0.833,0.804,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
0.615,0.689,0.575,0.859,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,,,0,True
0.759,0.743,0.786,0.704,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,StandardScaler(),,0,True
0.728,0.646,0.909,0.501,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,MinMaxScaler(),,0,True
0.78,0.764,0.816,0.718,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,MaxAbsScaler(),,0,True
0.766,0.768,0.753,0.784,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,RobustScaler(),,0,True
0.833,0.826,0.852,0.802,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,PowerTransformer(),,0,True
0.816,0.791,0.906,0.702,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,QuantileTransformer(random_state=27033074),,0,True
0.804,0.778,0.886,0.694,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
0.615,0.689,0.575,0.859,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,,,0,True
0.773,0.755,0.811,0.706,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,StandardScaler(),,0,True
0.631,0.441,0.885,0.294,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,MinMaxScaler(),,0,True
0.631,0.439,0.887,0.292,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,MaxAbsScaler(),,0,True
0.766,0.769,0.752,0.786,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,RobustScaler(),,0,True
0.83,0.826,0.838,0.814,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,PowerTransformer(),,0,True
0.843,0.83,0.899,0.77,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,QuantileTransformer(random_state=27033074),,0,True
0.765,0.796,0.699,0.924,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
0.788,0.785,0.786,0.784,DecisionTreeClassifier(random_state=27033074),478,,,0,True
0.787,0.785,0.786,0.784,DecisionTreeClassifier(random_state=27033074),478,StandardScaler(),,0,True
0.786,0.784,0.785,0.782,DecisionTreeClassifier(random_state=27033074),478,MinMaxScaler(),,0,True
0.786,0.784,0.786,0.782,DecisionTreeClassifier(random_state=27033074),478,MaxAbsScaler(),,0,True
