"Accuracy","F1-Score","Precision","Recall","Model","Num_Features","Preprocessing","Fea_Selection","Dim_Reduction","Var_Threshold"
0.802,0.793,0.824,0.763,"SGDClassifier(loss='huber', n_jobs=-1, random_state=27033074)",478,"PowerTransformer()",,0,"False"
0.834,0.818,0.896,0.753,"SGDClassifier(loss='huber', n_jobs=-1, random_state=27033074)",478,"QuantileTransformer(random_state=27033074)",,0,"False"
0.512,0.669,0.504,0.994,"SGDClassifier(loss='huber', n_jobs=-1, random_state=27033074)",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,"False"
0.514,0.059,0.732,0.031,"SGDClassifier(loss='huber', n_jobs=-1, random_state=27033074)",478,"normalize",,0,"False"
0.63,0.506,0.746,0.383,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",478,,,0,"False"
0.763,0.739,0.814,0.677,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",478,"StandardScaler()",,0,"False"
0.631,0.442,0.879,0.295,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",478,"MinMaxScaler()",,0,"False"
0.631,0.442,0.878,0.295,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",478,"MaxAbsScaler()",,0,"False"
0.774,0.768,0.781,0.755,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",478,"RobustScaler()",,0,"False"
0.842,0.839,0.85,0.827,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",478,"PowerTransformer()",,0,"False"
0.819,0.833,0.765,0.916,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",478,"QuantileTransformer(random_state=27033074)",,0,"False"
0.825,0.823,0.822,0.824,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,"False"
0.629,0.613,0.634,0.594,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",478,"normalize",,0,"False"
0.634,0.683,0.599,0.796,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,,,0,"False"
0.669,0.71,0.627,0.819,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,"StandardScaler()",,0,"False"
0.515,0.668,0.505,0.987,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,"MinMaxScaler()",,0,"False"
0.59,0.696,0.55,0.949,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,"MaxAbsScaler()",,0,"False"
0.784,0.774,0.801,0.75,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,"RobustScaler()",,0,"False"
0.808,0.805,0.807,0.803,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,"PowerTransformer()",,0,"False"
0.754,0.794,0.679,0.956,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,"QuantileTransformer(random_state=27033074)",,0,"False"
0.78,0.79,0.75,0.834,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,"False"
0.685,0.743,0.623,0.92,"SGDClassifier(loss='perceptron', n_jobs=-1, random_state=27033074)",478,"normalize",,0,"False"
0.634,0.683,0.599,0.796,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,,,0,"False"
0.773,0.755,0.809,0.709,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,"StandardScaler()",,0,"False"
0.679,0.616,0.756,0.519,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,"MinMaxScaler()",,0,"False"
0.681,0.613,0.766,0.511,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,"MaxAbsScaler()",,0,"False"
