Accuracy,F1-Score,Precision,Recall,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.843,0.83,0.899,0.77,"SGDClassifier(n_jobs=-1, random_state=27033074)",478,QuantileTransformer(random_state=27033074),,0,True
0.845,0.844,0.845,0.843,"SGDClassifier(n_jobs=-1, random_state=27033074)",400,QuantileTransformer(random_state=27033074),,1,True
0.849,0.846,0.856,0.836,"SGDClassifier(n_jobs=-1, random_state=27033074)",300,QuantileTransformer(random_state=27033074),,1,True
0.849,0.846,0.856,0.836,"SGDClassifier(n_jobs=-1, random_state=27033074)",200,QuantileTransformer(random_state=27033074),,1,True
0.848,0.843,0.862,0.825,"SGDClassifier(n_jobs=-1, random_state=27033074)",100,QuantileTransformer(random_state=27033074),,1,True
0.841,0.836,0.854,0.82,"SGDClassifier(n_jobs=-1, random_state=27033074)",50,QuantileTransformer(random_state=27033074),,1,True
0.793,0.79,0.793,0.787,DecisionTreeClassifier(random_state=27033074),478,MaxAbsScaler(),,0,False
0.57,0.565,0.566,0.564,DecisionTreeClassifier(random_state=27033074),400,MaxAbsScaler(),,1,False
0.572,0.569,0.567,0.571,DecisionTreeClassifier(random_state=27033074),300,MaxAbsScaler(),,1,False
0.584,0.581,0.58,0.583,DecisionTreeClassifier(random_state=27033074),200,MaxAbsScaler(),,1,False
0.584,0.577,0.581,0.573,DecisionTreeClassifier(random_state=27033074),100,MaxAbsScaler(),,1,False
0.581,0.58,0.576,0.583,DecisionTreeClassifier(random_state=27033074),50,MaxAbsScaler(),,1,False
0.851,0.846,0.867,0.825,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",478,QuantileTransformer(random_state=27033074),,0,True
0.851,0.846,0.867,0.825,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",400,QuantileTransformer(random_state=27033074),,1,True
0.851,0.846,0.868,0.824,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",300,QuantileTransformer(random_state=27033074),,1,True
0.85,0.844,0.868,0.822,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",200,QuantileTransformer(random_state=27033074),,1,True
0.85,0.845,0.868,0.823,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",100,QuantileTransformer(random_state=27033074),,1,True
0.846,0.84,0.865,0.816,"RidgeClassifierCV(alphas=array([ 0.1,  1. , 10. ]))",50,QuantileTransformer(random_state=27033074),,1,True
