R-square,MAE,RSME,MedAE,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.121,158.236,522.054,105.833,"SGDRegressor(max_iter=10000, random_state=27033074)",472,PowerTransformer(),,0,True
0.085,139.791,532.74,87.39,"SGDRegressor(max_iter=10000, random_state=27033074)",472,QuantileTransformer(random_state=27033074),,0,True
-1764161762.617,13369884.033,23388044.132,9692353.098,"SGDRegressor(max_iter=10000, random_state=27033074)",472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
0.699,87.988,305.621,44.502,"SGDRegressor(max_iter=10000, random_state=27033074)",472,normalize,,0,False
-113593565820.995,41430563.506,187672901.55,6256391.505,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,,,0,True
0.769,43.506,267.707,8.542,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,StandardScaler(),,0,True
-0.017,92.759,561.572,12.505,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,MinMaxScaler(),,0,True
-0.017,92.759,561.571,12.503,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,MaxAbsScaler(),,0,True
0.546,65.469,375.158,12.867,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,RobustScaler(),,0,True
0.02,82.482,551.173,14.025,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,PowerTransformer(),,0,True
0.008,83.551,554.5,12.636,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,QuantileTransformer(random_state=27033074),,0,True
0.018,85.911,551.704,15.821,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
-0.023,93.454,563.107,12.95,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,normalize,,0,False
-1.0467619959460306e+38,1.1830291188178344e+21,5.697032217892555e+21,1.5822364159828053e+20,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,,,0,True
-4.293209225326915e+17,83295334624.048,364851158110.893,45274694352.197,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,StandardScaler(),,0,True
0.695,61.284,307.624,21.136,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,MinMaxScaler(),,0,True
0.695,61.279,307.628,21.12,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,MaxAbsScaler(),,0,True
-8.666639013245652e+22,16108633074139.736,163926835778883.2,2777100135929.204,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,RobustScaler(),,0,True
-48664.084,69741.646,122838.199,45669.771,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,PowerTransformer(),,0,True
0.079,140.31,534.283,87.55,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,QuantileTransformer(random_state=27033074),,0,True
-45707006039.271,74379998.16,119046351.395,56922595.328,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
0.771,78.662,266.656,34.833,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,normalize,,0,False
0.666,57.006,321.903,10.0,DecisionTreeRegressor(random_state=27033074),472,,,0,True
0.67,57.222,319.715,10.0,DecisionTreeRegressor(random_state=27033074),472,StandardScaler(),,0,True
0.286,62.183,470.661,10.0,DecisionTreeRegressor(random_state=27033074),472,MinMaxScaler(),,0,True
0.286,62.181,470.658,10.0,DecisionTreeRegressor(random_state=27033074),472,MaxAbsScaler(),,0,True
0.67,57.271,319.76,10.0,DecisionTreeRegressor(random_state=27033074),472,RobustScaler(),,0,True
0.651,57.327,329.074,10.0,DecisionTreeRegressor(random_state=27033074),472,PowerTransformer(),,0,True
0.374,59.835,440.575,10.0,DecisionTreeRegressor(random_state=27033074),472,QuantileTransformer(random_state=27033074),,0,True
0.664,57.007,322.689,10.0,DecisionTreeRegressor(random_state=27033074),472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
0.276,121.743,473.849,20.0,DecisionTreeRegressor(random_state=27033074),472,normalize,,0,False
-13.971,623.238,2154.528,386.038,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,,,0,True
0.335,79.722,453.928,24.634,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,StandardScaler(),,0,True
0.56,64.641,369.303,21.639,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,MinMaxScaler(),,0,True
0.56,64.64,369.308,21.636,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,MaxAbsScaler(),,0,True
0.286,84.793,470.566,25.666,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,RobustScaler(),,0,True
0.128,159.736,520.038,106.204,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,PowerTransformer(),,0,True
0.094,150.23,530.07,96.115,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,QuantileTransformer(random_state=27033074),,0,True
0.123,161.888,521.448,105.883,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
0.592,95.453,355.544,34.142,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,normalize,,0,False
