R-square,MAE,RSME,MedAE,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
-7325904191921497.0,20289573283.817,47660140633.318,13629112470.299,"SGDRegressor(max_iter=10000, random_state=27033074)",472,PowerTransformer(),,0,False
0.086,140.339,532.438,88.769,"SGDRegressor(max_iter=10000, random_state=27033074)",472,QuantileTransformer(random_state=27033074),,0,False
-8054974722.003,32656620.747,49975459.177,25194402.928,"SGDRegressor(max_iter=10000, random_state=27033074)",472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,False
0.699,87.988,305.621,44.502,"SGDRegressor(max_iter=10000, random_state=27033074)",472,normalize,,0,False
-113593565151.181,41430561.612,187672900.996,6256390.328,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,,,0,False
0.769,43.461,267.644,8.537,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,StandardScaler(),,0,False
-0.016,92.384,561.167,12.748,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,MinMaxScaler(),,0,False
-0.016,92.384,561.166,12.748,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,MaxAbsScaler(),,0,False
0.375,73.6,440.057,13.457,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,RobustScaler(),,0,False
0.02,82.485,551.177,14.029,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,PowerTransformer(),,0,False
0.009,83.52,554.456,12.628,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,QuantileTransformer(random_state=27033074),,0,False
0.019,85.992,551.526,15.988,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,False
-0.023,93.454,563.107,12.95,"SGDRegressor(loss='epsilon_insensitive', max_iter=10000, random_state=27033074)",472,normalize,,0,False
-1.0467619956815385e+38,1.1830291162123933e+21,5.697032217172802e+21,1.582236392757692e+20,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,,,0,False
-1.0094194698780238e+18,72199266917.305,559449050104.891,28759585958.355,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,StandardScaler(),,0,False
0.736,61.391,286.089,22.237,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,MinMaxScaler(),,0,False
0.736,61.389,286.092,22.234,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,MaxAbsScaler(),,0,False
-8.618527091929332e+22,15746323838485.906,163471191368686.28,2541233917943.722,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,RobustScaler(),,0,False
-3454707209331528.0,7556445660.627,32728818320.404,4383490246.266,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,PowerTransformer(),,0,False
0.08,141.132,533.984,88.657,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,QuantileTransformer(random_state=27033074),,0,False
-779175149919.02,362650497.685,491521193.755,290500119.297,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,False
0.771,78.662,266.656,34.833,"SGDRegressor(loss='squared_epsilon_insensitive', max_iter=10000,
             random_state=27033074)",472,normalize,,0,False
0.733,56.001,287.879,10.0,DecisionTreeRegressor(random_state=27033074),472,,,0,False
0.668,56.642,320.877,10.0,DecisionTreeRegressor(random_state=27033074),472,StandardScaler(),,0,False
0.749,54.759,279.039,10.0,DecisionTreeRegressor(random_state=27033074),472,MinMaxScaler(),,0,False
0.749,54.764,279.041,10.0,DecisionTreeRegressor(random_state=27033074),472,MaxAbsScaler(),,0,False
0.298,60.846,466.582,10.0,DecisionTreeRegressor(random_state=27033074),472,RobustScaler(),,0,False
0.749,55.968,279.112,10.0,DecisionTreeRegressor(random_state=27033074),472,PowerTransformer(),,0,False
0.713,56.388,298.276,10.0,DecisionTreeRegressor(random_state=27033074),472,QuantileTransformer(random_state=27033074),,0,False
0.691,56.149,309.527,10.0,DecisionTreeRegressor(random_state=27033074),472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,False
0.276,121.743,473.849,20.0,DecisionTreeRegressor(random_state=27033074),472,normalize,,0,False
-5.046,368.994,1369.166,213.721,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,,,0,False
0.335,80.403,454.172,25.578,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,StandardScaler(),,0,False
0.56,65.461,369.405,22.736,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,MinMaxScaler(),,0,False
0.56,65.46,369.41,22.737,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,MaxAbsScaler(),,0,False
0.279,85.382,472.674,26.528,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,RobustScaler(),,0,False
0.128,160.615,520.017,106.166,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,PowerTransformer(),,0,False
0.094,151.161,530.155,97.331,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,QuantileTransformer(random_state=27033074),,0,False
0.123,162.755,521.585,106.747,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,False
0.592,95.453,355.544,34.142,"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",472,normalize,,0,False
